	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD30-196	BD-196	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	0	1	4.07	--	--	--	--	--	--	0.054	0.355	0.07	0.05	0.099	0.091	--	--	--	--	0.054	0.14	0.326	0.058	0.08	3.206	0.003119152	IGHG3
BD30-218	BD-218	Inf*	--	--	--	0.0156496	--	--	--	--	Inf*	--	--	--	--	--	--	0.06	--	--	--	--	--	--	0.06	0.163	0.055	0.064	0.092	0.126	--	--	--	--	0.049	0.135	0.51	0.049	0.48	--	--	IGHG1
BD30-236	BD-236	0.0173	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	2.24599	Inf*	--	--	--	--	0	0.115	0.199	2.652	0.058	0.054	0.067	0.198	0.074	0.061	0.131	0.054	0.055	0.105	0.109	0.083	0.062	0.05	0.128	0.049	0.113	0.195	0.06	1.354	3.22	0.579503106
BD30-254	BD-254	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.03879	Inf*	--	--	--	--	0	--	0.01	--	--	--	--	--	--	0.054	0.127	0.046	0.055	0.101	0.102	--	--	--	--	0.048	0.126	0.176	0.053	0.5	3.354	0.354800239	IGHG1
BD30-255	BD-255	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	0.28	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.42	--	--	IGHG1
BD30-319	BD-319	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.241124	Inf*	--	--	--	--	0	--	0.1	--	--	--	--	--	--	0.052	0.124	0.074	0.061	0.098	0.092	--	--	--	--	0.048	0.105	0.176	0.055	0.47	3.314	0.694628847	IGHG1
BD30-320	BD-320	--	--	--	--	2.551848	--	--	--	--	--	--	--	--	--	2	0	4.15	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.09	--	--	IGHG1
BD30-362	BD-362	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.17	--	--	--	--	--	--	0.054	0.121	0.076	0.058	0.089	0.088	--	--	--	--	0.053	0.122	0.103	0.052	0.45	3.392	0.71196934	IGHG1
BD30-368	BD-368	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	3.58062	Inf*	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.053	0.122	0.076	0.068	0.101	0.088	--	--	--	--	0.048	0.106	0.245	0.052	0.46	3.486	0.417096959	IGHG1
BD30-369	BD-369	0.013	Inf	5.253	6.22538	5.0513	6.03415	5.1029	7.221	8.33626	0.00769956	0.00368643	--	--	--	--	0	0.264	2.553	2.842	0.118	0.065	0.098	0.21	0.137	0.062	0.181	0.099	0.106	0.094	0.136	0.041	0.107	0.137	0.122	0.054	0.209	0.167	0.056	0.685	3.278	0.791031117
BD30-380	BD-380	Inf	0.926338	1.14943	--	1.219644	--	--	--	12.0307	Inf	--	--	--	--	2	0	3.27	3.5	3.52	3.33	3.36	0.59	3.31	--	--	--	--	--	0.18	0.06	3.13	3.27	3.32	--	--	--	--	0.17	--	--	IGHG1
